Source			Name	Detail	System Wide
C&P			Persons of Interest	When you Botch a Job, Disgruntle your entire Crew.	:::SYSTEM WIDE:::\nAuthority granted for increased surveillance and detention of any suspicious persons. Probable cause protocols suspended.
C&P			Alliance Audit	Each time a player completes a Job, place this card on that Contact's deck. Players may not take a Deal Action with that Contact until this card moves.	
C&P			Rapid Response	When a player moves an Alliance Ship, they may move it one extra Sector.\nDoes not apply to the "Alliance Contact" Nav Card.	
C&P			Criminal Sighting	Each time a player Hires a Wanted Crew, place this card on that Supply Deck. Players may not take a Buy Action at this location until this card moves.	
C&P			Privilege Suspension	Players do not count as Solid with Harken while this card is in play.	:::SYSTEM WIDE:::\nDispersion of work contracts to independent contractors is suspended until further notice, pending investigation into new regulatoy framework.
C&P			Incarceration Order	When resolving Alliance Contact, you may remove one of your Wanted Crew from Play instead of paying one Warrant's fine.	:::SYSTEM WIDE:::\nSee Order 24.4b: Increased Detention Quotas
C&P			White Sun Commerce	If you have any Warrants, you may not Buy at Osiris or Persephone.	:::SYSTEM WIDE:::\nAll financial transactions are not subject to three-level Cortex authentication.
C&P			Criminal Activity	+1 Misbehave when you Work an Illegal Job while you have any Warrants.	:::SYSTEM WIDE:::\nAdditional Security Patrols Required
C&P			Background Checks	If you have any Warrants when you roll for Wanted Crew, you must roll higher than your number of Warrants for each Crew to Dodge Capture.	:::SYSTEM WIDE:::\nAll imported shipments are subject to increased Customs Inspection and Scrutiny.
C&P			Enhanced Inspection	You may not Sell Cargo to Contacts.	
